customer_name_client,account,order_date_utc,region_territory,gross_revenue,unit_cost,profit_margin,active_subscription,customer_notes_log
Cyberdyne Systems,00415,2024-04-09,North America,43935.27,26668.71,0.39299999999999996,True,Fast shipping requested
Stark Industries,00520,2024-03-17,EMEA,63127.58,51827.74,0.179,True,Fast shipping requested
Stark Industries,00671,2024-01-23,EMEA,26968.61,17718.38,0.34299999999999997,False,VIP client priority support
Acme Corp,00888,2024-06-11,North America,35680.37,28579.98,0.19899999999999998,True,Quarterly renewal
Umbrella Corp,00351,2024-04-14,LATAM,11170.2,9628.71,0.138,True,VIP client priority support
Wayne Enterprises,00215,2024-02-13,EMEA,36973.49,27175.52,0.265,True,Standard order
Massive Dynamic,00205,2024-04-05,North America,66954.48,55304.4,0.174,False,Customer asked for $50 discount
Initech LLC,00106,2024-04-08,APAC,12943.0,8438.84,0.348,True,Customer asked for $50 discount
Soylent Corp,00368,2024-02-18,EMEA,-71132.28,60035.64,-0.156,True,Account upgrade pending
Massive Dynamic,00174,2024-02-01,APAC,53477.7,34118.77,0.36200000000000004,True,Fast shipping requested
Globex Inc,00670,2024-01-06,North America,51886.36,31079.93,0.401,True,Customer asked for $50 discount
Cyberdyne Systems,00678,2024-01-26,APAC,46898.43,30061.89,0.359,False,VIP client priority support
Umbrella Corp,00624,2024-02-21,APAC,62446.66,42213.94,0.324,True,Customer asked for $50 discount
Umbrella Corp,00003,2024-01-04,North America,68062.56,47235.42,0.306,False,Customer asked for $50 discount
Dunder Mifflin,00237,2024-04-26,APAC,20177.31,16242.73,0.195,False,VIP client priority support
Vandelay Industries,00119,2024-01-25,North America,1220.59,892.25,0.26899999999999996,False,Customer asked for $50 discount
Wonka Industries,00351,2024-02-16,North America,30357.92,16696.86,0.45,True,Standard order
Initech LLC,00713,2024-01-16,EMEA,8226.63,5297.95,0.35600000000000004,True,
Dunder Mifflin,00902,2024-02-03,LATAM,69069.65,43030.39,,False,Fast shipping requested
Wonka Industries,00347,2024-05-12,North America,32747.17,28686.52,0.124,True,Standard order
Dunder Mifflin,00957,2024-02-10,LATAM,-63964.4,50212.05,-0.215,True,Standard order
Massive Dynamic,00229,2024-05-20,LATAM,-30544.14,22175.05,-0.27399999999999997,True,VIP client priority support
Stark Industries,00122,2024-05-07,North America,-8146.93,4513.4,-0.446,True,Account upgrade pending
Massive Dynamic,00212,2024-06-16,LATAM,71301.46,55900.34,0.21600000000000003,True,Fast shipping requested
Dunder Mifflin,00373,2024-04-25,North America,-7759.06,3631.24,-0.532,True,Account upgrade pending
Massive Dynamic,00383,2024-06-28,North America,3910.47,2913.3,0.255,False,Quarterly renewal
Globex Inc,00953,2024-04-10,EMEA,34549.93,16825.82,0.513,False,
Soylent Corp,00469,2024-06-17,EMEA,72307.18,38395.11,0.469,True,Fast shipping requested
Hooli Inc,00178,2024-02-02,North America,29361.72,21757.03,0.259,False,Customer asked for $50 discount
Cyberdyne Systems,00987,2024-03-28,APAC,34237.01,23760.48,0.306,False,Fast shipping requested
Vandelay Industries,00958,2024-05-21,EMEA,15466.24,13672.16,0.11599999999999999,True,Account upgrade pending
Massive Dynamic,00711,2024-06-12,APAC,53421.28,31785.66,0.405,True,
Cyberdyne Systems,00828,2024-01-04,North America,-2382.77,1370.09,-0.425,True,Customer asked for $50 discount
Dunder Mifflin,00257,2024-02-07,North America,51949.32,37611.31,0.276,False,Fast shipping requested
Dunder Mifflin,00575,2024-04-09,EMEA,38563.71,28614.27,0.258,False,Account upgrade pending
Acme Corp,00014,2024-03-05,EMEA,46731.85,29254.14,0.374,False,
Vandelay Industries,00988,2024-02-19,APAC,33936.71,25825.84,0.239,True,Quarterly renewal
Initech LLC,00599,2024-03-06,North America,-25126.93,23242.41,-0.075,True,VIP client priority support
Pied Piper,00587,2024-05-20,APAC,5929.62,3302.8,0.44299999999999995,True,Standard order
Stark Industries,00227,2024-02-24,APAC,25164.46,11374.34,0.5479999999999999,True,Standard order
Dunder Mifflin,00355,2024-04-24,EMEA,67884.99,34417.69,0.493,False,VIP client priority support
Wayne Enterprises,00554,2024-03-13,North America,68394.53,54852.41,0.198,False,Account upgrade pending
Globex Inc,00971,2024-01-25,EMEA,72886.34,46282.83,0.365,True,
Globex Inc,00211,2024-05-17,LATAM,48668.81,38156.35,0.21600000000000003,True,Quarterly renewal
Pied Piper,00258,2024-05-22,North America,43334.69,32414.35,0.252,True,Fast shipping requested
Globex Inc,00548,2024-01-02,North America,-56819.06,27614.06,-0.514,False,Customer asked for $50 discount
Pied Piper,00703,2024-03-18,North America,21473.05,18724.5,0.128,True,
Pied Piper,00870,2024-05-19,APAC,72030.0,37167.48,0.484,True,Account upgrade pending
Wonka Industries,00569,2024-02-06,North America,3612.1,2882.46,0.20199999999999999,False,Quarterly renewal
Cyberdyne Systems,00928,2024-06-14,EMEA,12491.1,7682.03,0.385,True,
Pied Piper,00955,2024-05-20,LATAM,48528.25,28486.08,0.413,False,Customer asked for $50 discount
Initech LLC,00688,2024-06-16,EMEA,-7953.36,5766.19,-0.275,True,Fast shipping requested
Hooli Inc,00157,2024-05-24,APAC,60673.63,36040.14,0.406,True,
Stark Industries,00138,2024-06-22,APAC,65902.49,59048.63,0.10400000000000001,False,
Wayne Enterprises,00880,2024-02-05,EMEA,20110.98,12750.36,0.366,True,
Hooli Inc,00218,2024-01-10,APAC,40988.46,34348.33,0.162,True,Quarterly renewal
Soylent Corp,00514,2024-05-10,North America,-30060.49,18276.78,-0.392,True,VIP client priority support
Initech LLC,00184,2024-05-24,EMEA,55326.03,46141.91,0.166,False,Standard order
Dunder Mifflin,00212,2024-05-12,APAC,,,0.212,True,
Vandelay Industries,00270,2024-05-28,EMEA,28561.14,19764.31,0.308,False,Account upgrade pending
Cyberdyne Systems,00362,2024-03-29,LATAM,-59552.98,51632.43,-0.133,False,Account upgrade pending
Dunder Mifflin,00288,2024-02-24,EMEA,14424.47,10717.38,0.257,False,VIP client priority support
Dunder Mifflin,00491,2024-05-02,EMEA,-44513.92,29112.1,-0.34600000000000003,True,Fast shipping requested
Massive Dynamic,00041,2024-05-26,EMEA,4665.44,2169.43,0.535,True,Standard order
Umbrella Corp,00460,2024-06-04,LATAM,65114.03,42910.15,0.341,True,Quarterly renewal
Vandelay Industries,00703,2024-03-28,LATAM,44941.74,38155.54,0.151,True,
Initech LLC,00621,2024-01-25,EMEA,35952.25,20636.59,0.426,True,Account upgrade pending
Massive Dynamic,00848,2024-01-01,LATAM,39392.3,18947.7,0.519,True,Customer asked for $50 discount
Hooli Inc,00824,2024-06-27,North America,32198.96,26016.76,0.192,True,Customer asked for $50 discount
Umbrella Corp,00006,2024-01-02,North America,39222.26,30161.92,0.231,True,Customer asked for $50 discount
Wonka Industries,00549,2024-04-18,APAC,46085.11,32674.34,0.29100000000000004,True,Customer asked for $50 discount
Wayne Enterprises,00592,2024-03-29,LATAM,55315.79,48069.42,0.131,True,
Stark Industries,00821,2024-05-20,North America,12474.98,8108.74,0.35,True,Quarterly renewal
Stark Industries,00082,2024-06-04,North America,54474.86,35463.13,0.349,True,Fast shipping requested
Soylent Corp,00450,2024-01-03,EMEA,,,0.305,True,Fast shipping requested
Acme Corp,00369,2024-03-02,North America,73185.62,55035.59,0.248,True,Fast shipping requested
Vandelay Industries,00071,2024-01-24,APAC,54597.33,44333.03,0.188,False,VIP client priority support
Cyberdyne Systems,00589,2024-01-02,APAC,13540.09,6445.08,0.524,True,Account upgrade pending
Wonka Industries,00813,2024-05-27,APAC,52217.29,24489.91,0.531,True,Account upgrade pending
Wonka Industries,00029,2024-05-03,North America,19707.57,16455.82,0.165,False,Account upgrade pending
Massive Dynamic,00010,2024-06-28,APAC,18995.19,12783.76,0.327,False,Customer asked for $50 discount
Umbrella Corp,00916,2024-05-26,APAC,14117.44,7256.36,0.486,False,
Umbrella Corp,00857,2024-06-07,APAC,12121.67,8533.66,,True,
Soylent Corp,00381,2024-06-07,APAC,37179.36,18292.25,0.508,False,
Hooli Inc,00132,2024-01-14,LATAM,-36134.85,20307.79,-0.43799999999999994,True,Standard order
Vandelay Industries,00531,2024-04-27,APAC,51846.19,39869.72,0.231,True,Account upgrade pending
Wayne Enterprises,00243,2024-03-09,LATAM,71910.25,43146.15,0.4,True,Customer asked for $50 discount
Soylent Corp,00185,2024-05-26,EMEA,73455.8,49362.3,0.32799999999999996,False,Quarterly renewal
Pied Piper,00983,2024-02-08,LATAM,60522.29,38431.65,0.365,False,
Soylent Corp,00308,2024-03-05,North America,-30180.94,16026.08,-0.469,False,VIP client priority support
Vandelay Industries,00343,2024-03-07,APAC,27342.84,24307.78,0.111,False,Account upgrade pending
Hooli Inc,00666,2024-06-15,EMEA,73463.3,42755.64,0.418,True,Account upgrade pending
Wayne Enterprises,00475,2024-06-10,EMEA,65185.19,32331.85,0.504,False,Quarterly renewal
Stark Industries,00325,2024-06-16,APAC,53427.29,27728.76,0.48100000000000004,True,VIP client priority support
Initech LLC,00189,2024-01-06,EMEA,54719.05,47441.42,0.133,False,VIP client priority support
Massive Dynamic,00056,2024-01-07,LATAM,39536.72,19135.77,0.516,False,Quarterly renewal
Vandelay Industries,00291,2024-04-23,EMEA,-10280.14,5325.11,-0.48200000000000004,True,
Massive Dynamic,00958,2024-03-10,LATAM,10566.06,6677.75,0.368,True,Customer asked for $50 discount
Soylent Corp,00553,2024-02-28,North America,33418.59,22991.99,0.312,True,Customer asked for $50 discount
Wayne Enterprises,00481,2024-05-16,North America,51738.86,38028.06,0.265,False,
Acme Corp,00562,2024-04-05,EMEA,31174.32,19546.3,0.373,False,Customer asked for $50 discount
Globex Inc,00433,2024-06-09,EMEA,38987.45,22573.73,0.42100000000000004,True,Quarterly renewal
Wonka Industries,00071,2024-02-16,EMEA,22074.85,18896.07,,True,Quarterly renewal
Globex Inc,00289,2024-03-09,EMEA,53782.1,41896.26,0.221,True,Customer asked for $50 discount
Soylent Corp,00714,2024-01-09,APAC,-6476.62,4391.15,-0.322,True,Quarterly renewal
Wonka Industries,00257,2024-04-07,North America,9586.14,4342.52,0.547,False,Account upgrade pending
Dunder Mifflin,00214,2024-05-01,LATAM,51267.45,29632.59,0.42200000000000004,False,Customer asked for $50 discount
Soylent Corp,00654,2024-03-17,EMEA,27351.79,17341.03,0.366,True,
Wayne Enterprises,00599,2024-01-31,LATAM,59291.21,35930.47,0.39399999999999996,False,Quarterly renewal
Initech LLC,00512,2024-01-24,APAC,-69848.23,47636.49,-0.318,False,Quarterly renewal
Soylent Corp,00239,2024-03-22,APAC,,,0.22899999999999998,True,VIP client priority support
Vandelay Industries,00449,2024-05-23,APAC,40933.69,23905.27,0.41600000000000004,True,Standard order
Massive Dynamic,00159,2024-04-25,APAC,,,0.303,True,Account upgrade pending
Wonka Industries,00373,2024-06-07,EMEA,24391.71,16781.5,0.312,True,Account upgrade pending
Wayne Enterprises,00331,2024-04-14,APAC,8729.58,7516.17,,True,Quarterly renewal
Globex Inc,00033,2024-05-26,LATAM,49515.13,41592.71,0.16,True,Quarterly renewal
Dunder Mifflin,00504,2024-01-21,LATAM,60175.99,32434.86,0.461,True,
Hooli Inc,00273,2024-05-15,North America,-55205.38,49740.05,-0.099,False,Account upgrade pending
Cyberdyne Systems,00195,2024-02-19,EMEA,42967.06,24362.32,0.433,True,Fast shipping requested
Dunder Mifflin,00438,2024-01-27,EMEA,59538.39,26851.81,0.5489999999999999,False,Customer asked for $50 discount
Massive Dynamic,00333,2024-04-05,LATAM,57431.74,38881.29,0.32299999999999995,True,Customer asked for $50 discount
Soylent Corp,00459,2024-04-11,North America,54610.34,43633.66,0.201,False,Quarterly renewal
Wonka Industries,00323,2024-01-06,APAC,68973.85,64214.65,0.069,True,Customer asked for $50 discount
Stark Industries,00911,2024-05-29,EMEA,17858.06,10411.25,0.41700000000000004,True,Quarterly renewal
Soylent Corp,00846,2024-06-25,North America,-44844.72,40853.54,-0.08900000000000001,True,
Stark Industries,00357,2024-04-21,LATAM,69803.33,45302.36,,True,Standard order
Wayne Enterprises,00537,2024-01-11,APAC,40724.76,24964.28,0.387,True,
Hooli Inc,00590,2024-05-09,North America,17045.38,12136.31,0.28800000000000003,True,Customer asked for $50 discount
Globex Inc,00409,2024-05-08,LATAM,58149.97,43728.78,0.248,False,Quarterly renewal
Globex Inc,00273,2024-04-20,APAC,51512.98,39974.07,0.22399999999999998,True,
Wayne Enterprises,00174,2024-03-30,LATAM,-46927.07,28484.73,-0.39299999999999996,True,
Vandelay Industries,00874,2024-01-22,North America,55598.83,30023.37,,False,Customer asked for $50 discount
Soylent Corp,00483,2024-01-06,APAC,16071.21,10864.14,0.324,True,Fast shipping requested
Vandelay Industries,00685,2024-01-05,LATAM,-43933.87,37343.79,-0.15,True,Standard order
Soylent Corp,00671,2024-01-03,North America,29454.06,26390.84,0.10400000000000001,True,Quarterly renewal
Cyberdyne Systems,00521,2024-01-26,APAC,36607.33,26393.88,0.27899999999999997,True,Standard order
Umbrella Corp,00945,2024-05-15,APAC,,,0.226,False,Account upgrade pending
Wayne Enterprises,00832,2024-01-16,APAC,65961.46,51383.98,0.221,True,Standard order
Vandelay Industries,00392,2024-05-13,EMEA,31591.33,24799.19,0.215,False,Fast shipping requested
Initech LLC,00595,2024-05-18,EMEA,64762.78,47600.64,0.265,True,Fast shipping requested
Hooli Inc,00940,2024-02-10,APAC,5552.15,2831.6,0.49,False,VIP client priority support
Cyberdyne Systems,00311,2024-04-23,APAC,11820.8,7612.6,0.35600000000000004,False,Account upgrade pending
Umbrella Corp,00237,2024-06-24,North America,27264.97,17040.61,0.375,True,VIP client priority support
Soylent Corp,00141,2024-02-11,EMEA,,,0.525,False,
Umbrella Corp,00068,2024-02-15,LATAM,65101.11,47914.42,0.264,True,Fast shipping requested
Stark Industries,00404,2024-06-05,North America,39288.36,32491.47,0.17300000000000001,True,Account upgrade pending
Cyberdyne Systems,00529,2024-06-10,North America,14643.85,10528.93,0.281,True,Fast shipping requested
Massive Dynamic,00926,2024-02-06,LATAM,62327.07,40948.88,0.34299999999999997,True,VIP client priority support
Cyberdyne Systems,00332,2024-04-25,North America,13826.45,12512.94,0.095,True,Fast shipping requested
Vandelay Industries,00127,2024-01-24,North America,53113.89,24538.62,0.5379999999999999,True,VIP client priority support
Massive Dynamic,00390,2024-01-12,EMEA,68462.83,60110.36,0.122,True,VIP client priority support
Wayne Enterprises,00317,2024-04-24,APAC,47170.74,26745.81,,True,Account upgrade pending
Pied Piper,00006,2024-06-04,LATAM,18221.94,11826.04,,True,Account upgrade pending
Dunder Mifflin,00571,2024-02-23,North America,,,0.38299999999999995,True,Customer asked for $50 discount
Globex Inc,00051,2024-01-28,LATAM,74533.27,48670.23,0.34700000000000003,True,VIP client priority support
Vandelay Industries,00593,2024-04-02,North America,7437.91,4247.05,0.429,False,Customer asked for $50 discount
Soylent Corp,00138,2024-02-01,APAC,25026.04,22398.31,0.105,False,VIP client priority support
Vandelay Industries,00706,2024-06-03,APAC,32315.49,15705.33,0.514,True,Account upgrade pending
Vandelay Industries,00648,2024-05-07,LATAM,60694.54,54078.84,0.109,False,Fast shipping requested
Wonka Industries,00213,2024-06-06,LATAM,31346.06,19748.02,0.37,True,
Globex Inc,00316,2024-03-17,APAC,57643.93,37007.4,,False,Customer asked for $50 discount
Wonka Industries,00347,2024-06-21,LATAM,68754.15,34652.09,0.496,False,VIP client priority support
Pied Piper,00834,2024-04-15,North America,62715.38,59015.17,0.059000000000000004,False,
Pied Piper,00363,2024-01-17,EMEA,21394.27,18548.83,0.133,True,Account upgrade pending
Globex Inc,00886,2024-03-19,APAC,53383.08,38649.35,0.276,False,Account upgrade pending
Wayne Enterprises,00180,2024-01-29,APAC,58978.33,41815.64,0.29100000000000004,False,Customer asked for $50 discount
Soylent Corp,00751,2024-05-14,APAC,58277.22,40327.84,0.308,False,Fast shipping requested
Acme Corp,00471,2024-04-09,North America,806.19,578.04,,True,Standard order
Hooli Inc,00777,2024-03-20,EMEA,24405.59,14985.03,0.386,True,Customer asked for $50 discount
Globex Inc,00016,2024-06-08,North America,15890.01,8707.73,0.452,True,Standard order
Wayne Enterprises,00628,2024-03-27,LATAM,4279.1,3949.61,0.077,True,Fast shipping requested
Hooli Inc,00913,2024-05-31,LATAM,46415.49,25296.44,0.455,True,Account upgrade pending
Initech LLC,00096,2024-06-27,LATAM,7746.09,6460.24,0.166,True,Customer asked for $50 discount
Cyberdyne Systems,00188,2024-06-28,APAC,,,0.106,True,Customer asked for $50 discount
Pied Piper,00357,2024-06-03,EMEA,38342.25,23963.91,0.375,True,VIP client priority support
Hooli Inc,00424,2024-03-02,EMEA,41322.2,27066.04,0.345,True,Account upgrade pending
Pied Piper,00351,2024-05-19,EMEA,13394.87,11961.62,0.107,False,Account upgrade pending
Globex Inc,00842,2024-04-23,EMEA,-23448.66,13225.04,-0.436,True,Customer asked for $50 discount
Soylent Corp,00661,2024-06-18,North America,7244.71,6882.47,0.05,True,VIP client priority support
Massive Dynamic,00299,2024-04-09,LATAM,15077.16,7402.89,0.509,False,Standard order
Hooli Inc,00009,2024-06-05,LATAM,-63648.94,60466.49,-0.05,False,Standard order
Wonka Industries,00289,2024-01-08,EMEA,32662.8,24791.07,0.24100000000000002,True,VIP client priority support
Initech LLC,00193,2024-05-22,LATAM,63327.91,38946.66,0.385,False,Fast shipping requested
Acme Corp,00148,2024-05-04,LATAM,73135.64,52803.93,0.278,True,Account upgrade pending
Initech LLC,00466,2024-05-10,LATAM,41627.73,39379.83,0.054000000000000006,False,Fast shipping requested
Massive Dynamic,00276,2024-04-15,APAC,2992.91,2121.97,0.29100000000000004,True,Fast shipping requested
Vandelay Industries,00540,2024-03-12,LATAM,39012.74,22588.38,0.42100000000000004,False,Fast shipping requested
Dunder Mifflin,00553,2024-05-28,APAC,,,0.306,False,VIP client priority support
Stark Industries,00984,2024-03-16,APAC,12979.36,11928.03,0.081,True,Account upgrade pending
Acme Corp,00673,2024-03-15,North America,21867.77,18019.04,0.17600000000000002,True,
Wayne Enterprises,00015,2024-01-29,EMEA,68304.8,38182.38,0.441,True,
Massive Dynamic,00883,2024-01-09,APAC,73813.34,42368.86,0.426,True,Quarterly renewal
Dunder Mifflin,00451,2024-06-12,EMEA,-16208.83,14976.96,-0.076,True,VIP client priority support
Soylent Corp,00309,2024-05-01,EMEA,28795.16,27182.63,0.055999999999999994,True,VIP client priority support
Dunder Mifflin,00324,2024-05-15,North America,7753.64,3807.04,0.509,False,Customer asked for $50 discount
Wayne Enterprises,00822,2024-01-26,APAC,49248.57,30238.62,0.386,False,Fast shipping requested
Vandelay Industries,00185,2024-03-21,North America,-50623.74,30728.61,-0.39299999999999996,False,Quarterly renewal
Vandelay Industries,00291,2024-03-05,EMEA,3036.11,1615.21,0.46799999999999997,False,Fast shipping requested
Globex Inc,00089,2024-06-03,EMEA,28508.9,24460.64,0.142,False,Fast shipping requested
Soylent Corp,00945,2024-03-11,LATAM,52070.5,47852.79,0.081,True,Customer asked for $50 discount
Wonka Industries,00272,2024-02-15,LATAM,5670.19,4978.43,0.122,False,Account upgrade pending
Dunder Mifflin,00109,2024-04-23,APAC,-8194.89,7711.39,-0.059000000000000004,True,Quarterly renewal
Dunder Mifflin,00656,2024-01-01,North America,50013.13,47412.45,0.052000000000000005,True,VIP client priority support
Cyberdyne Systems,00414,2024-01-18,EMEA,746.4,584.43,0.217,True,Fast shipping requested
Dunder Mifflin,00093,2024-04-03,APAC,6494.03,4370.48,0.327,False,Customer asked for $50 discount
Vandelay Industries,00400,2024-01-28,APAC,36744.51,21679.26,0.41,True,VIP client priority support
Globex Inc,00812,2024-05-18,APAC,,,0.078,True,VIP client priority support
Globex Inc,00217,2024-06-16,LATAM,70536.69,65740.2,0.068,True,VIP client priority support
Hooli Inc,00047,2024-03-03,EMEA,1570.21,1011.22,0.35600000000000004,False,
Wonka Industries,00109,2024-01-30,LATAM,44825.82,24385.25,0.456,True,Customer asked for $50 discount
Globex Inc,00701,2024-05-27,EMEA,24458.45,21768.02,0.11,True,Quarterly renewal
Vandelay Industries,00379,2024-05-21,EMEA,-33180.26,21368.09,-0.35600000000000004,True,Standard order
Soylent Corp,00083,2024-01-02,North America,13866.26,8361.35,0.397,True,Fast shipping requested
Initech LLC,00212,2024-02-06,APAC,39469.97,25734.42,0.348,False,Fast shipping requested
Wonka Industries,00802,2024-03-18,APAC,31699.55,28592.99,0.098,False,VIP client priority support
Pied Piper,00642,2024-06-17,EMEA,21093.78,10420.33,0.506,True,Fast shipping requested
Acme Corp,00056,2024-06-14,APAC,21737.31,15716.08,0.27699999999999997,True,Account upgrade pending
Initech LLC,00162,2024-01-08,LATAM,38860.33,30583.08,0.213,False,Quarterly renewal
Pied Piper,00113,2024-03-24,EMEA,7805.78,5581.13,0.285,True,Quarterly renewal
Umbrella Corp,00951,2024-06-05,LATAM,13765.53,6359.67,0.5379999999999999,True,Standard order
Vandelay Industries,00583,2024-01-16,APAC,10669.36,5409.37,0.493,True,Account upgrade pending
Massive Dynamic,00876,2024-02-28,North America,31171.36,16583.16,0.46799999999999997,True,Fast shipping requested
Wonka Industries,00253,2024-03-04,APAC,32851.53,21780.56,,True,VIP client priority support
Vandelay Industries,00788,2024-05-09,North America,32214.47,23323.28,0.276,True,Fast shipping requested
Vandelay Industries,00417,2024-02-25,EMEA,27201.22,21706.57,0.20199999999999999,True,VIP client priority support
Soylent Corp,00791,2024-02-05,LATAM,14278.46,9081.1,0.364,False,Account upgrade pending
Acme Corp,00304,2024-04-19,APAC,52505.1,47779.64,0.09,True,Account upgrade pending
Dunder Mifflin,00373,2024-01-14,North America,29030.15,19479.23,0.32899999999999996,False,Quarterly renewal
Stark Industries,00245,2024-05-18,North America,48853.36,27846.42,0.43,True,Account upgrade pending
Dunder Mifflin,00434,2024-03-11,North America,5221.0,3733.02,0.285,True,VIP client priority support
Hooli Inc,00377,2024-06-21,North America,14532.34,6844.73,0.529,True,Customer asked for $50 discount
Globex Inc,00714,2024-02-07,LATAM,11712.11,5446.13,0.535,True,VIP client priority support
Stark Industries,00431,2024-04-23,North America,-22218.0,13952.9,-0.37200000000000005,True,Account upgrade pending
Stark Industries,00672,2024-06-14,APAC,36718.06,32458.77,0.11599999999999999,True,
Wayne Enterprises,00233,2024-05-03,APAC,72818.94,46676.94,0.359,True,Quarterly renewal
Initech LLC,00860,2024-06-26,EMEA,-12513.48,9134.84,-0.27,False,Quarterly renewal
Umbrella Corp,00576,2024-01-09,APAC,73362.68,58616.78,0.201,True,VIP client priority support
Pied Piper,00149,2024-04-27,APAC,12125.97,8645.82,0.287,True,
Hooli Inc,00747,2024-04-23,APAC,51841.45,41265.79,0.204,False,VIP client priority support
Stark Industries,00095,2024-03-24,North America,45807.27,37149.7,,True,Fast shipping requested
Dunder Mifflin,00981,2024-01-23,LATAM,14986.53,9246.69,0.38299999999999995,True,Customer asked for $50 discount
Cyberdyne Systems,00382,2024-01-04,APAC,26196.56,15351.18,0.414,True,
Soylent Corp,00296,2024-02-11,LATAM,54781.11,46344.82,0.154,False,Standard order
Hooli Inc,00775,2024-04-06,North America,993.11,568.06,0.428,True,
Cyberdyne Systems,00297,2024-05-21,LATAM,3646.35,2618.08,,True,Customer asked for $50 discount
Wayne Enterprises,00979,2024-06-12,LATAM,9751.18,8073.98,0.172,True,VIP client priority support
Globex Inc,00614,2024-04-02,LATAM,42635.31,37945.43,0.11,True,
Wayne Enterprises,00167,2024-05-28,North America,11387.22,9269.2,0.18600000000000003,False,Standard order
Wayne Enterprises,00299,2024-05-15,North America,38783.05,30599.83,0.21100000000000002,True,Customer asked for $50 discount
Dunder Mifflin,00715,2024-06-25,APAC,7639.59,6180.43,0.191,True,Customer asked for $50 discount
Initech LLC,00105,2024-02-25,EMEA,38002.03,18012.96,0.526,False,VIP client priority support
Soylent Corp,00939,2024-01-20,North America,61503.93,33273.63,0.45899999999999996,False,Quarterly renewal
Vandelay Industries,00312,2024-01-08,North America,17065.66,7833.14,0.541,False,Standard order
Acme Corp,00794,2024-05-03,LATAM,-3667.51,3374.11,-0.08,False,Customer asked for $50 discount
Acme Corp,00068,2024-03-18,North America,56714.0,48660.61,0.142,False,Quarterly renewal
Wonka Industries,00765,2024-03-12,APAC,26739.14,24493.05,0.084,True,Account upgrade pending
Umbrella Corp,00733,2024-02-19,APAC,-13297.12,6515.59,-0.51,True,Customer asked for $50 discount
Vandelay Industries,00604,2024-02-17,LATAM,50677.66,42721.27,0.157,False,
Stark Industries,00127,2024-04-29,North America,39219.7,36474.32,0.07,False,VIP client priority support
Wayne Enterprises,00468,2024-06-02,APAC,51684.97,38040.14,0.264,True,Fast shipping requested
Stark Industries,00184,2024-01-04,LATAM,50571.11,44401.43,0.122,False,Fast shipping requested
Initech LLC,00067,2024-04-03,EMEA,25728.06,18987.31,0.262,True,
Pied Piper,00821,2024-06-13,LATAM,27029.25,23677.62,0.124,False,Customer asked for $50 discount
Soylent Corp,00510,2024-02-29,EMEA,2714.4,2334.38,0.14,False,Quarterly renewal
Wayne Enterprises,00637,2024-06-08,North America,57132.77,35365.18,0.381,True,Account upgrade pending
Stark Industries,00829,2024-05-18,North America,71467.25,51813.76,0.275,True,VIP client priority support
Acme Corp,00034,2024-02-15,APAC,66410.17,46885.58,0.294,True,Fast shipping requested
Massive Dynamic,00702,2024-05-18,LATAM,35955.37,16719.25,0.535,False,
Wayne Enterprises,00329,2024-01-16,North America,44489.52,41686.68,0.063,False,VIP client priority support
Globex Inc,00439,2024-03-29,APAC,31188.76,20397.45,0.34600000000000003,False,
Wayne Enterprises,00118,2024-03-27,EMEA,-1968.54,1311.05,-0.33399999999999996,True,Customer asked for $50 discount
Acme Corp,00713,2024-04-30,North America,73939.48,52201.27,0.294,False,Customer asked for $50 discount
Soylent Corp,00515,2024-06-19,APAC,12913.73,6792.62,0.474,False,Customer asked for $50 discount
Wayne Enterprises,00049,2024-03-17,LATAM,60442.92,54579.96,0.09699999999999999,False,Account upgrade pending
Pied Piper,00544,2024-05-01,LATAM,16125.57,11836.17,0.266,False,VIP client priority support
Cyberdyne Systems,00258,2024-06-08,LATAM,,,0.308,True,Quarterly renewal
Dunder Mifflin,00986,2024-04-29,APAC,70318.64,33963.9,0.517,True,Account upgrade pending
Umbrella Corp,00374,2024-04-28,EMEA,18407.86,9093.48,0.506,True,Customer asked for $50 discount
Wonka Industries,00294,2024-06-14,EMEA,19605.27,18350.53,0.064,True,VIP client priority support
Soylent Corp,00574,2024-04-21,LATAM,48695.69,27026.11,0.445,True,Fast shipping requested
Wonka Industries,00044,2024-05-04,North America,4621.88,2181.53,0.528,False,VIP client priority support
Wonka Industries,00742,2024-02-05,EMEA,8838.96,4198.51,0.525,True,VIP client priority support
Globex Inc,00244,2024-06-02,North America,58102.72,33467.17,0.424,True,Quarterly renewal
Initech LLC,00110,2024-02-14,EMEA,72759.3,49694.6,0.317,False,Customer asked for $50 discount
Massive Dynamic,00434,2024-05-01,EMEA,72266.99,67858.7,0.061,True,
Vandelay Industries,00679,2024-01-14,EMEA,19347.23,10524.89,0.456,False,
Soylent Corp,00398,2024-01-03,LATAM,69599.3,55749.04,0.19899999999999998,True,VIP client priority support
Dunder Mifflin,00325,2024-06-13,LATAM,59304.15,42343.16,0.28600000000000003,False,Fast shipping requested
Cyberdyne Systems,00898,2024-01-26,EMEA,-52536.92,28527.55,-0.457,False,VIP client priority support
Vandelay Industries,00029,2024-01-14,EMEA,-47446.65,37625.19,-0.207,False,Standard order
Initech LLC,00256,2024-05-12,EMEA,63598.55,37014.36,0.418,False,
Wayne Enterprises,00204,2024-01-22,LATAM,27886.17,23368.61,0.162,False,Standard order
Soylent Corp,00204,2024-03-08,EMEA,4208.83,3223.96,0.23399999999999999,False,Standard order
