 Customer Name / Client , Account # , Order Date (UTC) , Region / Territory , Gross Revenue ($) , Unit Cost ($) , Profit Margin % , Active Subscription? , Customer Notes / Log , Blank Column (Notes) 
Initech LLC,00947,2024-05-26,LATAM,"€61,715.56","$47,706.13",22.7%,true,Customer asked for $50 discount,
Soylent Corp,00905,2024-02-08,North America,"£46,250.94","$31,219.38",32.5%,true,VIP client priority support,
Initech LLC,00430,2024-02-21,EMEA,"£47,491.20","$36,568.22",23.0%,Yes,Customer asked for $50 discount,
Hooli Inc,00515,2024-03-23,LATAM,"20,647.46","$11,583.23",43.9%,Yes,Account upgrade pending,
Stark Industries,00786,2024-05-29,EMEA,"$73,061.50","$40,476.07",44.6%,No,Account upgrade pending,
Wonka Industries,00817,2024-04-09,APAC,"70,172.85","$42,173.88",39.9%,Y,Fast shipping requested,
Vandelay Industries,00361,2024-05-25,EMEA,"42,451.61","$28,824.64",32.1%,Y,Standard order,
Acme Corp,00239,2024-06-03,EMEA,"(1,984.64)","$1,085.60",(45.3%),false,Fast shipping requested,
Initech LLC,00941,2024-03-23,North America,"£2,132.51","$1,465.03",31.3%,N,Customer asked for $50 discount,
Vandelay Industries,00965,2024-06-18,LATAM,"$44,158.24","$21,019.32",52.4%,Yes,Fast shipping requested,
Stark Industries,00179,2024-05-23,APAC,"£17,131.17","$13,756.33",19.7%,Y,Fast shipping requested,
Hooli Inc,00401,2024-05-25,North America,"$14,065.09","$9,381.42",33.3%,Yes,Customer asked for $50 discount,
Vandelay Industries,00080,2024-03-01,APAC,"73,687.28","$45,317.68",38.5%,false,VIP client priority support,
Acme Corp,00272,2024-02-23,EMEA,"$52,141.62","$39,471.21",24.3%,Yes,VIP client priority support,
Soylent Corp,00903,2024-04-06,APAC,"$41,178.79","$23,513.09",42.9%,Yes,Standard order,
Pied Piper,00867,2024-01-09,APAC,"$1,995.81","$1,520.81",23.8%,N,Customer asked for $50 discount,
Hooli Inc,00629,2024-05-03,North America,"$32,633.59","$25,584.73",21.6%,Y,Fast shipping requested,
Massive Dynamic,00740,2024-05-18,APAC,"$49,714.54","$26,348.71",47.0%,false,Standard order,
Cyberdyne Systems,00090,2024-03-16,LATAM,"15,375.77","$10,962.92",28.7%,Y,VIP client priority support,
Soylent Corp,00917,2024-06-18,APAC,"£7,289.70","$6,247.27",N/A,Yes,Customer asked for $50 discount,
Umbrella Corp,00858,2024-03-09,North America,"$11,759.24","$5,468.05",53.5%,Y,,
Cyberdyne Systems,00839,2024-05-13,LATAM,"€72,439.26","$54,546.76",24.7%,Y,Account upgrade pending,
Hooli Inc,00923,2024-05-12,EMEA,"9,461.00","$5,165.71",45.4%,Y,Standard order,
Dunder Mifflin,00446,2024-02-21,EMEA,"62,641.05","$56,752.79",9.4%,false,,
Wayne Enterprises,00533,2024-04-27,North America,"£59,098.02","$51,710.77",12.5%,N,Standard order,
Hooli Inc,00799,2024-01-26,APAC,"$65,126.91","$43,244.27",33.6%,Yes,Customer asked for $50 discount,
Cyberdyne Systems,00148,2024-06-07,LATAM,"$3,389.30","$2,765.67",18.4%,false,,
Pied Piper,00311,2024-03-20,APAC,"$63,292.07","$36,582.82",42.2%,false,Customer asked for $50 discount,
Vandelay Industries,00427,2024-06-03,North America,"$14,501.21","$10,034.84",30.8%,Y,Account upgrade pending,
Pied Piper,00163,2024-01-17,APAC,"53,362.92","$49,947.69",6.4%,No,,
Acme Corp,00256,2024-01-09,LATAM,"4,266.67","$2,973.87",30.3%,N,Fast shipping requested,
Acme Corp,00248,2024-04-05,LATAM,"$44,756.25","$34,820.36",22.2%,true,Fast shipping requested,
Wonka Industries,00706,2024-01-24,APAC,"2,545.06","$1,325.98",47.9%,No,Customer asked for $50 discount,
Dunder Mifflin,00420,2024-05-11,North America,"$64,914.93","$35,703.21",45.0%,true,Fast shipping requested,
Vandelay Industries,00659,2024-03-11,LATAM,"$67,213.48","$46,377.30",31.0%,N,Standard order,
Massive Dynamic,00679,2024-04-05,APAC,"$22,736.46","$17,893.59",21.3%,true,Quarterly renewal,
Initech LLC,00530,2024-03-02,North America,"£60,504.52","$56,692.74",6.3%,true,Customer asked for $50 discount,
Cyberdyne Systems,00415,2024-04-09,North America,"£43,935.27","$26,668.71",39.3%,Yes,Fast shipping requested,
Stark Industries,00520,2024-03-17,EMEA,"£63,127.58","$51,827.74",17.9%,Yes,Fast shipping requested,
Stark Industries,00671,2024-01-23,EMEA,"$26,968.61","$17,718.38",34.3%,N,VIP client priority support,
Acme Corp,00888,2024-06-11,North America,"$35,680.37","$28,579.98",19.9%,Yes,Quarterly renewal,
Umbrella Corp,00351,2024-04-14,LATAM,"$11,170.20","$9,628.71",13.8%,Y,VIP client priority support,
Wayne Enterprises,00215,2024-02-13,EMEA,"$36,973.49","$27,175.52",26.5%,Y,Standard order,
Massive Dynamic,00205,2024-04-05,North America,"£66,954.48","$55,304.40",17.4%,false,Customer asked for $50 discount,
Initech LLC,00106,2024-04-08,APAC,"$12,943.00","$8,438.84",34.8%,Yes,Customer asked for $50 discount,
Soylent Corp,00368,2024-02-18,EMEA,"(71,132.28)","$60,035.64",(15.6%),Y,Account upgrade pending,
Massive Dynamic,00174,2024-02-01,APAC,"$53,477.70","$34,118.77",36.2%,Y,Fast shipping requested,
Globex Inc,00670,2024-01-06,North America,"€51,886.36","$31,079.93",40.1%,Y,Customer asked for $50 discount,
Cyberdyne Systems,00678,2024-01-26,APAC,"$46,898.43","$30,061.89",35.9%,N,VIP client priority support,
Umbrella Corp,00624,2024-02-21,APAC,"$62,446.66","$42,213.94",32.4%,Yes,Customer asked for $50 discount,
Umbrella Corp,00003,2024-01-04,North America,"£68,062.56","$47,235.42",30.6%,N,Customer asked for $50 discount,
Dunder Mifflin,00237,2024-04-26,APAC,"$20,177.31","$16,242.73",19.5%,false,VIP client priority support,
Vandelay Industries,00119,2024-01-25,North America,"$1,220.59",$892.25,26.9%,N,Customer asked for $50 discount,
Wonka Industries,00351,2024-02-16,North America,"30,357.92","$16,696.86",45.0%,Yes,Standard order,
Initech LLC,00713,2024-01-16,EMEA,"£8,226.63","$5,297.95",35.6%,Y,,
Dunder Mifflin,00902,2024-02-03,LATAM,"$69,069.65","$43,030.39",,No,Fast shipping requested,
Wonka Industries,00347,2024-05-12,North America,"$32,747.17","$28,686.52",12.4%,Y,Standard order,
Dunder Mifflin,00957,2024-02-10,LATAM,"(63,964.40)","$50,212.05",(21.5%),true,Standard order,
Massive Dynamic,00229,2024-05-20,LATAM,"-$30,544.14","$22,175.05",(27.4%),Yes,VIP client priority support,
Stark Industries,00122,2024-05-07,North America,"(8,146.93)","$4,513.40",(44.6%),true,Account upgrade pending,
Massive Dynamic,00212,2024-06-16,LATAM,"71,301.46","$55,900.34",21.6%,Yes,Fast shipping requested,
Dunder Mifflin,00373,2024-04-25,North America,"-$7,759.06","$3,631.24",(53.2%),true,Account upgrade pending,
Massive Dynamic,00383,2024-06-28,North America,"$3,910.47","$2,913.30",25.5%,No,Quarterly renewal,
Globex Inc,00953,2024-04-10,EMEA,"$34,549.93","$16,825.82",51.3%,N,,
Soylent Corp,00469,2024-06-17,EMEA,"72,307.18","$38,395.11",46.9%,Yes,Fast shipping requested,
Hooli Inc,00178,2024-02-02,North America,"29,361.72","$21,757.03",25.9%,No,Customer asked for $50 discount,
Cyberdyne Systems,00987,2024-03-28,APAC,"34,237.01","$23,760.48",30.6%,false,Fast shipping requested,
Vandelay Industries,00958,2024-05-21,EMEA,"15,466.24","$13,672.16",11.6%,Yes,Account upgrade pending,
Massive Dynamic,00711,2024-06-12,APAC,"53,421.28","$31,785.66",40.5%,true,,
Cyberdyne Systems,00828,2024-01-04,North America,"($2,382.77)","$1,370.09",(42.5%),Yes,Customer asked for $50 discount,
Dunder Mifflin,00257,2024-02-07,North America,"$51,949.32","$37,611.31",27.6%,No,Fast shipping requested,
Dunder Mifflin,00575,2024-04-09,EMEA,"$38,563.71","$28,614.27",25.8%,false,Account upgrade pending,
Acme Corp,00014,2024-03-05,EMEA,"€46,731.85","$29,254.14",37.4%,No,,
Vandelay Industries,00988,2024-02-19,APAC,"$33,936.71","$25,825.84",23.9%,true,Quarterly renewal,
Initech LLC,00599,2024-03-06,North America,"-$25,126.93","$23,242.41",(7.5%),true,VIP client priority support,
Pied Piper,00587,2024-05-20,APAC,"$5,929.62","$3,302.80",44.3%,Y,Standard order,
Stark Industries,00227,2024-02-24,APAC,"$25,164.46","$11,374.34",54.8%,Y,Standard order,
Dunder Mifflin,00355,2024-04-24,EMEA,"£67,884.99","$34,417.69",49.3%,N,VIP client priority support,
Wayne Enterprises,00554,2024-03-13,North America,"$68,394.53","$54,852.41",19.8%,false,Account upgrade pending,
Globex Inc,00971,2024-01-25,EMEA,"£72,886.34","$46,282.83",36.5%,Y,,
Globex Inc,00211,2024-05-17,LATAM,"$48,668.81","$38,156.35",21.6%,Y,Quarterly renewal,
Pied Piper,00258,2024-05-22,North America,"$43,334.69","$32,414.35",25.2%,Y,Fast shipping requested,
Globex Inc,00548,2024-01-02,North America,"(£56,819.06)","$27,614.06",(51.4%),N,Customer asked for $50 discount,
Pied Piper,00703,2024-03-18,North America,"€21,473.05","$18,724.50",12.8%,Y,,
Pied Piper,00870,2024-05-19,APAC,"72,030.00","$37,167.48",48.4%,Y,Account upgrade pending,
Wonka Industries,00569,2024-02-06,North America,"3,612.10","$2,882.46",20.2%,false,Quarterly renewal,
Cyberdyne Systems,00928,2024-06-14,EMEA,"$12,491.10","$7,682.03",38.5%,Y,,
Pied Piper,00955,2024-05-20,LATAM,"$48,528.25","$28,486.08",41.3%,false,Customer asked for $50 discount,
Initech LLC,00688,2024-06-16,EMEA,"(£7,953.36)","$5,766.19",(27.5%),true,Fast shipping requested,
Hooli Inc,00157,2024-05-24,APAC,"€60,673.63","$36,040.14",40.6%,true,,
Stark Industries,00138,2024-06-22,APAC,"€65,902.49","$59,048.63",10.4%,N,,
Wayne Enterprises,00880,2024-02-05,EMEA,"20,110.98","$12,750.36",36.6%,Y,,
Hooli Inc,00218,2024-01-10,APAC,"£40,988.46","$34,348.33",16.2%,true,Quarterly renewal,
Soylent Corp,00514,2024-05-10,North America,"-£30,060.49","$18,276.78",(39.2%),Yes,VIP client priority support,
Initech LLC,00184,2024-05-24,EMEA,"€55,326.03","$46,141.91",16.6%,No,Standard order,
Dunder Mifflin,00212,2024-05-12,APAC,#VALUE!,-,21.2%,true,,
Vandelay Industries,00270,2024-05-28,EMEA,"28,561.14","$19,764.31",30.8%,No,Account upgrade pending,
Cyberdyne Systems,00362,2024-03-29,LATAM,"(£59,552.98)","$51,632.43",(13.3%),N,Account upgrade pending,
Dunder Mifflin,00288,2024-02-24,EMEA,"$14,424.47","$10,717.38",25.7%,N,VIP client priority support,
Dunder Mifflin,00491,2024-05-02,EMEA,"-€44,513.92","$29,112.10",(34.6%),Yes,Fast shipping requested,
Massive Dynamic,00041,2024-05-26,EMEA,"$4,665.44","$2,169.43",53.5%,true,Standard order,
Umbrella Corp,00460,2024-06-04,LATAM,"$65,114.03","$42,910.15",34.1%,true,Quarterly renewal,
Vandelay Industries,00703,2024-03-28,LATAM,"$44,941.74","$38,155.54",15.1%,Y,,
Initech LLC,00621,2024-01-25,EMEA,"£35,952.25","$20,636.59",42.6%,Yes,Account upgrade pending,
Massive Dynamic,00848,2024-01-01,LATAM,"$39,392.30","$18,947.70",51.9%,Y,Customer asked for $50 discount,
Hooli Inc,00824,2024-06-27,North America,"32,198.96","$26,016.76",19.2%,Y,Customer asked for $50 discount,
Umbrella Corp,00006,2024-01-02,North America,"€39,222.26","$30,161.92",23.1%,true,Customer asked for $50 discount,
Wonka Industries,00549,2024-04-18,APAC,"€46,085.11","$32,674.34",29.1%,Yes,Customer asked for $50 discount,
Wayne Enterprises,00592,2024-03-29,LATAM,"$55,315.79","$48,069.42",13.1%,Y,,
Stark Industries,00821,2024-05-20,North America,"$12,474.98","$8,108.74",35.0%,true,Quarterly renewal,
Stark Industries,00082,2024-06-04,North America,"€54,474.86","$35,463.13",34.9%,Yes,Fast shipping requested,
Soylent Corp,00450,2024-01-03,EMEA,,-,30.5%,Yes,Fast shipping requested,
Acme Corp,00369,2024-03-02,North America,"$73,185.62","$55,035.59",24.8%,Y,Fast shipping requested,
Vandelay Industries,00071,2024-01-24,APAC,"54,597.33","$44,333.03",18.8%,No,VIP client priority support,
Cyberdyne Systems,00589,2024-01-02,APAC,"£13,540.09","$6,445.08",52.4%,true,Account upgrade pending,
Wonka Industries,00813,2024-05-27,APAC,"€52,217.29","$24,489.91",53.1%,Yes,Account upgrade pending,
Wonka Industries,00029,2024-05-03,North America,"€19,707.57","$16,455.82",16.5%,false,Account upgrade pending,
Massive Dynamic,00010,2024-06-28,APAC,"$18,995.19","$12,783.76",32.7%,false,Customer asked for $50 discount,
Umbrella Corp,00916,2024-05-26,APAC,"$14,117.44","$7,256.36",48.6%,No,,
Umbrella Corp,00857,2024-06-07,APAC,"12,121.67","$8,533.66",,Y,,
Soylent Corp,00381,2024-06-07,APAC,"37,179.36","$18,292.25",50.8%,No,,
Hooli Inc,00132,2024-01-14,LATAM,"-£36,134.85","$20,307.79",(43.8%),Yes,Standard order,
Vandelay Industries,00531,2024-04-27,APAC,"$51,846.19","$39,869.72",23.1%,Yes,Account upgrade pending,
Wayne Enterprises,00243,2024-03-09,LATAM,"$71,910.25","$43,146.15",40.0%,Y,Customer asked for $50 discount,
Soylent Corp,00185,2024-05-26,EMEA,"73,455.80","$49,362.30",32.8%,No,Quarterly renewal,
Pied Piper,00983,2024-02-08,LATAM,"60,522.29","$38,431.65",36.5%,false,,
Soylent Corp,00308,2024-03-05,North America,"($30,180.94)","$16,026.08",(46.9%),N,VIP client priority support,
Vandelay Industries,00343,2024-03-07,APAC,"£27,342.84","$24,307.78",11.1%,No,Account upgrade pending,
Hooli Inc,00666,2024-06-15,EMEA,"$73,463.30","$42,755.64",41.8%,Y,Account upgrade pending,
Wayne Enterprises,00475,2024-06-10,EMEA,"$65,185.19","$32,331.85",50.4%,false,Quarterly renewal,
Stark Industries,00325,2024-06-16,APAC,"£53,427.29","$27,728.76",48.1%,Yes,VIP client priority support,
Initech LLC,00189,2024-01-06,EMEA,"$54,719.05","$47,441.42",13.3%,N,VIP client priority support,
Massive Dynamic,00056,2024-01-07,LATAM,"$39,536.72","$19,135.77",51.6%,No,Quarterly renewal,
Vandelay Industries,00291,2024-04-23,EMEA,"($10,280.14)","$5,325.11",(48.2%),Yes,,
Massive Dynamic,00958,2024-03-10,LATAM,"£10,566.06","$6,677.75",36.8%,true,Customer asked for $50 discount,
Soylent Corp,00553,2024-02-28,North America,"$33,418.59","$22,991.99",31.2%,Yes,Customer asked for $50 discount,
Wayne Enterprises,00481,2024-05-16,North America,"€51,738.86","$38,028.06",26.5%,No,,
Acme Corp,00562,2024-04-05,EMEA,"£31,174.32","$19,546.30",37.3%,No,Customer asked for $50 discount,
Globex Inc,00433,2024-06-09,EMEA,"£38,987.45","$22,573.73",42.1%,Y,Quarterly renewal,
Wonka Industries,00071,2024-02-16,EMEA,"€22,074.85","$18,896.07",-,Y,Quarterly renewal,
Globex Inc,00289,2024-03-09,EMEA,"$53,782.10","$41,896.26",22.1%,Yes,Customer asked for $50 discount,
Soylent Corp,00714,2024-01-09,APAC,"(6,476.62)","$4,391.15",(32.2%),Yes,Quarterly renewal,
Wonka Industries,00257,2024-04-07,North America,"$9,586.14","$4,342.52",54.7%,N,Account upgrade pending,
Dunder Mifflin,00214,2024-05-01,LATAM,"$51,267.45","$29,632.59",42.2%,N,Customer asked for $50 discount,
Soylent Corp,00654,2024-03-17,EMEA,"$27,351.79","$17,341.03",36.6%,Yes,,
Wayne Enterprises,00599,2024-01-31,LATAM,"$59,291.21","$35,930.47",39.4%,N,Quarterly renewal,
Initech LLC,00512,2024-01-24,APAC,"-$69,848.23","$47,636.49",(31.8%),N,Quarterly renewal,
Soylent Corp,00239,2024-03-22,APAC,None,-,22.9%,Y,VIP client priority support,
Vandelay Industries,00449,2024-05-23,APAC,"€40,933.69","$23,905.27",41.6%,Yes,Standard order,
Massive Dynamic,00159,2024-04-25,APAC,#VALUE!,-,30.3%,Y,Account upgrade pending,
Wonka Industries,00373,2024-06-07,EMEA,"$24,391.71","$16,781.50",31.2%,Yes,Account upgrade pending,
Wayne Enterprises,00331,2024-04-14,APAC,"8,729.58","$7,516.17",-,Yes,Quarterly renewal,
Globex Inc,00033,2024-05-26,LATAM,"£49,515.13","$41,592.71",16.0%,Y,Quarterly renewal,
Dunder Mifflin,00504,2024-01-21,LATAM,"60,175.99","$32,434.86",46.1%,Y,,
Hooli Inc,00273,2024-05-15,North America,"-$55,205.38","$49,740.05",(9.9%),No,Account upgrade pending,
Cyberdyne Systems,00195,2024-02-19,EMEA,"$42,967.06","$24,362.32",43.3%,Yes,Fast shipping requested,
Dunder Mifflin,00438,2024-01-27,EMEA,"£59,538.39","$26,851.81",54.9%,false,Customer asked for $50 discount,
Massive Dynamic,00333,2024-04-05,LATAM,"€57,431.74","$38,881.29",32.3%,true,Customer asked for $50 discount,
Soylent Corp,00459,2024-04-11,North America,"54,610.34","$43,633.66",20.1%,No,Quarterly renewal,
Wonka Industries,00323,2024-01-06,APAC,"£68,973.85","$64,214.65",6.9%,Yes,Customer asked for $50 discount,
Stark Industries,00911,2024-05-29,EMEA,"17,858.06","$10,411.25",41.7%,Yes,Quarterly renewal,
Soylent Corp,00846,2024-06-25,North America,"($44,844.72)","$40,853.54",(8.9%),Y,,
Stark Industries,00357,2024-04-21,LATAM,"$69,803.33","$45,302.36",,Y,Standard order,
Wayne Enterprises,00537,2024-01-11,APAC,"$40,724.76","$24,964.28",38.7%,Yes,,
Hooli Inc,00590,2024-05-09,North America,"$17,045.38","$12,136.31",28.8%,Y,Customer asked for $50 discount,
Globex Inc,00409,2024-05-08,LATAM,"$58,149.97","$43,728.78",24.8%,No,Quarterly renewal,
Globex Inc,00273,2024-04-20,APAC,"£51,512.98","$39,974.07",22.4%,Y,,
Wayne Enterprises,00174,2024-03-30,LATAM,"(46,927.07)","$28,484.73",(39.3%),Yes,,
Vandelay Industries,00874,2024-01-22,North America,"55,598.83","$30,023.37",,N,Customer asked for $50 discount,
Soylent Corp,00483,2024-01-06,APAC,"£16,071.21","$10,864.14",32.4%,Yes,Fast shipping requested,
Vandelay Industries,00685,2024-01-05,LATAM,"(£43,933.87)","$37,343.79",(15.0%),true,Standard order,
Soylent Corp,00671,2024-01-03,North America,"$29,454.06","$26,390.84",10.4%,Y,Quarterly renewal,
Cyberdyne Systems,00521,2024-01-26,APAC,"£36,607.33","$26,393.88",27.9%,Y,Standard order,
Umbrella Corp,00945,2024-05-15,APAC,#VALUE!,-,22.6%,No,Account upgrade pending,
Wayne Enterprises,00832,2024-01-16,APAC,"$65,961.46","$51,383.98",22.1%,Yes,Standard order,
Vandelay Industries,00392,2024-05-13,EMEA,"31,591.33","$24,799.19",21.5%,No,Fast shipping requested,
Initech LLC,00595,2024-05-18,EMEA,"64,762.78","$47,600.64",26.5%,Yes,Fast shipping requested,
Hooli Inc,00940,2024-02-10,APAC,"£5,552.15","$2,831.60",49.0%,false,VIP client priority support,
Cyberdyne Systems,00311,2024-04-23,APAC,"$11,820.80","$7,612.60",35.6%,No,Account upgrade pending,
Umbrella Corp,00237,2024-06-24,North America,"€27,264.97","$17,040.61",37.5%,Y,VIP client priority support,
Soylent Corp,00141,2024-02-11,EMEA,—,-,52.5%,No,,
Umbrella Corp,00068,2024-02-15,LATAM,"65,101.11","$47,914.42",26.4%,Y,Fast shipping requested,
Stark Industries,00404,2024-06-05,North America,"39,288.36","$32,491.47",17.3%,Y,Account upgrade pending,
Cyberdyne Systems,00529,2024-06-10,North America,"14,643.85","$10,528.93",28.1%,Y,Fast shipping requested,
Massive Dynamic,00926,2024-02-06,LATAM,"€62,327.07","$40,948.88",34.3%,Yes,VIP client priority support,
Cyberdyne Systems,00332,2024-04-25,North America,"13,826.45","$12,512.94",9.5%,Yes,Fast shipping requested,
Vandelay Industries,00127,2024-01-24,North America,"$53,113.89","$24,538.62",53.8%,Yes,VIP client priority support,
Massive Dynamic,00390,2024-01-12,EMEA,"£68,462.83","$60,110.36",12.2%,Y,VIP client priority support,
Wayne Enterprises,00317,2024-04-24,APAC,"$47,170.74","$26,745.81",N/A,Yes,Account upgrade pending,
Pied Piper,00006,2024-06-04,LATAM,"£18,221.94","$11,826.04",,true,Account upgrade pending,
Dunder Mifflin,00571,2024-02-23,North America,-,-,38.3%,true,Customer asked for $50 discount,
Globex Inc,00051,2024-01-28,LATAM,"$74,533.27","$48,670.23",34.7%,Yes,VIP client priority support,
Vandelay Industries,00593,2024-04-02,North America,"7,437.91","$4,247.05",42.9%,N,Customer asked for $50 discount,
Soylent Corp,00138,2024-02-01,APAC,"€25,026.04","$22,398.31",10.5%,N,VIP client priority support,
Vandelay Industries,00706,2024-06-03,APAC,"$32,315.49","$15,705.33",51.4%,Yes,Account upgrade pending,
Vandelay Industries,00648,2024-05-07,LATAM,"£60,694.54","$54,078.84",10.9%,N,Fast shipping requested,
Wonka Industries,00213,2024-06-06,LATAM,"$31,346.06","$19,748.02",37.0%,true,,
Globex Inc,00316,2024-03-17,APAC,"$57,643.93","$37,007.40",-,No,Customer asked for $50 discount,
Wonka Industries,00347,2024-06-21,LATAM,"$68,754.15","$34,652.09",49.6%,false,VIP client priority support,
Pied Piper,00834,2024-04-15,North America,"$62,715.38","$59,015.17",5.9%,false,,
Pied Piper,00363,2024-01-17,EMEA,"$21,394.27","$18,548.83",13.3%,Yes,Account upgrade pending,
Globex Inc,00886,2024-03-19,APAC,"$53,383.08","$38,649.35",27.6%,No,Account upgrade pending,
Wayne Enterprises,00180,2024-01-29,APAC,"$58,978.33","$41,815.64",29.1%,No,Customer asked for $50 discount,
Soylent Corp,00751,2024-05-14,APAC,"58,277.22","$40,327.84",30.8%,No,Fast shipping requested,
Acme Corp,00471,2024-04-09,North America,$806.19,$578.04,,true,Standard order,
Hooli Inc,00777,2024-03-20,EMEA,"$24,405.59","$14,985.03",38.6%,Yes,Customer asked for $50 discount,
Globex Inc,00016,2024-06-08,North America,"15,890.01","$8,707.73",45.2%,Yes,Standard order,
Wayne Enterprises,00628,2024-03-27,LATAM,"$4,279.10","$3,949.61",7.7%,Yes,Fast shipping requested,
Hooli Inc,00913,2024-05-31,LATAM,"$46,415.49","$25,296.44",45.5%,Yes,Account upgrade pending,
Initech LLC,00096,2024-06-27,LATAM,"$7,746.09","$6,460.24",16.6%,true,Customer asked for $50 discount,
Cyberdyne Systems,00188,2024-06-28,APAC,None,-,10.6%,Yes,Customer asked for $50 discount,
Pied Piper,00357,2024-06-03,EMEA,"€38,342.25","$23,963.91",37.5%,Yes,VIP client priority support,
Hooli Inc,00424,2024-03-02,EMEA,"41,322.20","$27,066.04",34.5%,Y,Account upgrade pending,
Pied Piper,00351,2024-05-19,EMEA,"13,394.87","$11,961.62",10.7%,false,Account upgrade pending,
Globex Inc,00842,2024-04-23,EMEA,"-€23,448.66","$13,225.04",(43.6%),Y,Customer asked for $50 discount,
Soylent Corp,00661,2024-06-18,North America,"$7,244.71","$6,882.47",5.0%,Yes,VIP client priority support,
Massive Dynamic,00299,2024-04-09,LATAM,"$15,077.16","$7,402.89",50.9%,false,Standard order,
Hooli Inc,00009,2024-06-05,LATAM,"(63,648.94)","$60,466.49",(5.0%),false,Standard order,
Wonka Industries,00289,2024-01-08,EMEA,"£32,662.80","$24,791.07",24.1%,Yes,VIP client priority support,
Initech LLC,00193,2024-05-22,LATAM,"63,327.91","$38,946.66",38.5%,N,Fast shipping requested,
Acme Corp,00148,2024-05-04,LATAM,"$73,135.64","$52,803.93",27.8%,Y,Account upgrade pending,
Initech LLC,00466,2024-05-10,LATAM,"€41,627.73","$39,379.83",5.4%,No,Fast shipping requested,
Massive Dynamic,00276,2024-04-15,APAC,"$2,992.91","$2,121.97",29.1%,Yes,Fast shipping requested,
Vandelay Industries,00540,2024-03-12,LATAM,"£39,012.74","$22,588.38",42.1%,N,Fast shipping requested,
Dunder Mifflin,00553,2024-05-28,APAC,None,-,30.6%,false,VIP client priority support,
Stark Industries,00984,2024-03-16,APAC,"£12,979.36","$11,928.03",8.1%,Yes,Account upgrade pending,
Acme Corp,00673,2024-03-15,North America,"$21,867.77","$18,019.04",17.6%,true,,
Wayne Enterprises,00015,2024-01-29,EMEA,"$68,304.80","$38,182.38",44.1%,Yes,,
Massive Dynamic,00883,2024-01-09,APAC,"73,813.34","$42,368.86",42.6%,Y,Quarterly renewal,
Dunder Mifflin,00451,2024-06-12,EMEA,"(16,208.83)","$14,976.96",(7.6%),Yes,VIP client priority support,
Soylent Corp,00309,2024-05-01,EMEA,"28,795.16","$27,182.63",5.6%,Yes,VIP client priority support,
Dunder Mifflin,00324,2024-05-15,North America,"£7,753.64","$3,807.04",50.9%,false,Customer asked for $50 discount,
Wayne Enterprises,00822,2024-01-26,APAC,"€49,248.57","$30,238.62",38.6%,false,Fast shipping requested,
Vandelay Industries,00185,2024-03-21,North America,"(50,623.74)","$30,728.61",(39.3%),false,Quarterly renewal,
Vandelay Industries,00291,2024-03-05,EMEA,"£3,036.11","$1,615.21",46.8%,N,Fast shipping requested,
Globex Inc,00089,2024-06-03,EMEA,"£28,508.90","$24,460.64",14.2%,N,Fast shipping requested,
Soylent Corp,00945,2024-03-11,LATAM,"$52,070.50","$47,852.79",8.1%,Y,Customer asked for $50 discount,
Wonka Industries,00272,2024-02-15,LATAM,"$5,670.19","$4,978.43",12.2%,No,Account upgrade pending,
Dunder Mifflin,00109,2024-04-23,APAC,"($8,194.89)","$7,711.39",(5.9%),Yes,Quarterly renewal,
Dunder Mifflin,00656,2024-01-01,North America,"$50,013.13","$47,412.45",5.2%,Yes,VIP client priority support,
Cyberdyne Systems,00414,2024-01-18,EMEA,746.40,$584.43,21.7%,Y,Fast shipping requested,
Dunder Mifflin,00093,2024-04-03,APAC,"€6,494.03","$4,370.48",32.7%,No,Customer asked for $50 discount,
Vandelay Industries,00400,2024-01-28,APAC,"€36,744.51","$21,679.26",41.0%,Yes,VIP client priority support,
Globex Inc,00812,2024-05-18,APAC,—,-,7.8%,Y,VIP client priority support,
Globex Inc,00217,2024-06-16,LATAM,"70,536.69","$65,740.20",6.8%,Y,VIP client priority support,
Hooli Inc,00047,2024-03-03,EMEA,"$1,570.21","$1,011.22",35.6%,N,,
Wonka Industries,00109,2024-01-30,LATAM,"£44,825.82","$24,385.25",45.6%,Y,Customer asked for $50 discount,
Globex Inc,00701,2024-05-27,EMEA,"$24,458.45","$21,768.02",11.0%,Y,Quarterly renewal,
Vandelay Industries,00379,2024-05-21,EMEA,"-£33,180.26","$21,368.09",(35.6%),Yes,Standard order,
Soylent Corp,00083,2024-01-02,North America,"$13,866.26","$8,361.35",39.7%,Yes,Fast shipping requested,
Initech LLC,00212,2024-02-06,APAC,"€39,469.97","$25,734.42",34.8%,N,Fast shipping requested,
Wonka Industries,00802,2024-03-18,APAC,"£31,699.55","$28,592.99",9.8%,No,VIP client priority support,
Pied Piper,00642,2024-06-17,EMEA,"21,093.78","$10,420.33",50.6%,Yes,Fast shipping requested,
Acme Corp,00056,2024-06-14,APAC,"21,737.31","$15,716.08",27.7%,Y,Account upgrade pending,
Initech LLC,00162,2024-01-08,LATAM,"$38,860.33","$30,583.08",21.3%,false,Quarterly renewal,
Pied Piper,00113,2024-03-24,EMEA,"€7,805.78","$5,581.13",28.5%,Y,Quarterly renewal,
Umbrella Corp,00951,2024-06-05,LATAM,"$13,765.53","$6,359.67",53.8%,Yes,Standard order,
Vandelay Industries,00583,2024-01-16,APAC,"€10,669.36","$5,409.37",49.3%,Yes,Account upgrade pending,
