 Customer Name / Client , Account # , Order Date (UTC) , Region / Territory , Gross Revenue ($) , Unit Cost ($) , Profit Margin % , Active Subscription? , Customer Notes / Log , Blank Column (Notes) 
Acme Corp,00613,01-09-2024,India,"210,509.95","₹153,395.41",13.3%,false,VIP client priority support,
Umbrella Corp,00406,09/23/24,USA,"68,701.68","$57,165.20",50.6%,Yes,VIP client priority support,
Wayne Enterprises,00626,06/09/2024,USA,"$15,146.59","$11,828.61",36.6%,false,VIP client priority support,
Globex Inc,00565,06-02-2024,USA,"50,600.84","$44,565.70",-,Y,,
Cyberdyne Systems,00064,04/14/24,USA,"($51,285.94)","$30,985.86",(14.6%),No,Standard order,
Hooli Inc,00843,16/10/2024,LATAM,"$10,481.68","$8,138.94",29.0%,false,Customer asked for 50 discount,
Initech LLC,00690,25.07.2024,APAC,"18,181.54","₹15,002.64",45.4%,Yes,Account upgrade pending,
Massive Dynamic,00569,05/04/2024,USA,"$14,104.55","$8,664.48",25.1%,Yes,VIP client priority support,
Massive Dynamic,00876,2024-12-13,EMEA,"£2,788.15","£2,491.47",34.4%,true,N/A,
Massive Dynamic,00573,15/12/2024,EMEA,"€33,935.29","€28,536.71",24.0%,Yes,Account upgrade pending,
Hooli Inc,00379,2024-08-19,EMEA,"(£53,575.01)","£48,915.02",(25.9%),false,Quarterly renewal,
Dunder Mifflin,00708,07.05.2024,EMEA,"€1,800.93","€1,334.92",28.9%,true,Quarterly renewal,
Hooli Inc,00536,16/03/2024,APAC,"Rs. 56,641.46","Rs. 44,345.75",44.3%,false,,
Acme Corp,00846,17/01/2024,APAC,"₹22,945.77","₹14,131.32",43.6%,N,,
Stark Industries,00655,26/06/2024,LATAM,"$24,300.13","$18,820.40",40.5%,false,Fast shipping requested,
Hooli Inc,00960,11-05-2024,India,"Rs. 192,492.19","Rs. 137,042.92",27.3%,Yes,,
Globex Inc,00312,12/11/2024,USA,"$41,558.96","$31,392.63",33.0%,Y,Customer asked for 50 discount,
Soylent Corp,00776,2024-11-24,USA,"$10,769.89","$6,656.62",10.4%,No,Standard order,
Globex Inc,00482,05/15/2024,USA,"$54,446.64","$39,760.23",35.8%,No,Fast shipping requested,
Soylent Corp,00335,27/06/2024,LATAM,"$26,495.56","$19,817.17",19.9%,Y,Account upgrade pending,
Soylent Corp,00814,03-06-2024,North America,"$65,853.65","$47,497.20",30.9%,No,Fast shipping requested,
Pied Piper,00889,04/05/2024,Europe,"£47,337.16","£41,660.44",43.2%,No,Quarterly renewal,
Dunder Mifflin,00574,28-11-2024,EMEA,"€47,713.10","€31,379.46",23.6%,false,Quarterly renewal,
Massive Dynamic,00710,03/03/2024,North America,"$55,220.39","$40,249.94",27.9%,true,Quarterly renewal,
Dunder Mifflin,00694,2024-08-24,North America,"3,088.86","$2,440.06",34.8%,false,Customer asked for 50 discount,
Massive Dynamic,00567,18.07.2024,India,"225,065.52","₹130,267.89",15.5%,true,N/A,
Stark Industries,00918,13/09/2024,India,"₹131,062.61","₹85,701.78",33.3%,false,Quarterly renewal,
Wayne Enterprises,00840,11/08/2024,EMEA,"€42,142.40","€29,585.34",32.8%,No,Standard order,
Massive Dynamic,00160,18-May-2024,APAC,"-(Rs. 151,842.59)","Rs. 115,177.73",(36.1%),true,Fast shipping requested,
Soylent Corp,00469,2024-04-28,India,"₹152,205.49","₹128,462.64",36.0%,false,Account upgrade pending,
Stark Industries,00620,15/04/2024,India,"₹54,575.39","₹47,374.11",12.0%,N,Standard order,
Globex Inc,00525,16-02-2024,Europe,"£35,145.73","£19,345.76",25.3%,Y,-,
Wayne Enterprises,00244,2024-10-28,Europe,"€59,029.26","€50,751.03",17.0%,Y,Customer asked for 50 discount,
Massive Dynamic,00907,04/01/2024,India,"-(Rs. 146,606.85)","Rs. 87,025.33",(37.3%),true,,
Hooli Inc,00119,11-26-2024,North America,"$42,393.80","$32,914.37",14.6%,No,N/A,
Cyberdyne Systems,00389,28.05.2024,India,"₹102,541.79","₹61,636.37",15.8%,Yes,Fast shipping requested,
Soylent Corp,00530,23/09/2024,LATAM,"$2,816.35","$1,932.54",42.8%,N,,
Umbrella Corp,00075,20.06.2024,EMEA,"€60,508.39","€42,249.29",50.3%,Yes,N/A,
Stark Industries,00020,10/01/2024,North America,"$46,177.73","$36,913.97",50.9%,true,,
Hooli Inc,00695,25/10/2024,LATAM,"$31,811.18","$27,730.19",39.1%,No,Account upgrade pending,
Hooli Inc,00996,10.04.2024,Europe,"€37,453.96","€24,218.10",8.4%,Y,-,
Pied Piper,00907,08/07/2024,India,"₹190,580.95","₹172,601.22",-,true,Fast shipping requested,
Wayne Enterprises,00658,2024-04-20,Europe,"£26,925.20","£18,326.52",17.4%,N,Account upgrade pending,
Umbrella Corp,00577,2024-04-28,North America,"20,253.78","$18,237.19",28.5%,false,Quarterly renewal,
Pied Piper,00221,04/19/2024,North America,"$9,078.90","$5,257.05",5.3%,Y,N/A,
Hooli Inc,00645,28-10-2024,EMEA,"€18,361.28","€11,607.53",42.6%,No,Standard order,
Globex Inc,00365,18/08/2024,LATAM,"$14,546.48","$8,043.43",22.8%,true,Customer asked for 50 discount,
Cyberdyne Systems,00571,20/05/2024,EMEA,"€32,520.30","€20,419.40",45.2%,Yes,VIP client priority support,
Massive Dynamic,00712,04-05-2024,North America,"$14,785.13","$12,508.42",5.5%,Yes,-,
Globex Inc,00747,2024-09-28,EMEA,"€3,291.56","€1,930.90",17.0%,Y,N/A,
Initech LLC,00352,2024-09-24,EMEA,"£16,899.92","£9,418.99",50.3%,No,-,
Cyberdyne Systems,00809,11.09.2024,EMEA,"£57,848.18","£39,972.88",11.8%,true,,
Acme Corp,00637,25-02-2024,India,"₹82,635.17","₹54,357.57",17.7%,true,-,
Stark Industries,00433,01-18-2024,North America,"$70,538.76","$57,084.05",9.8%,N,-,
Dunder Mifflin,00036,25/09/2024,Europe,"€5,663.37","€5,066.95",39.7%,Yes,VIP client priority support,
Globex Inc,00868,2024-06-13,North America,"$24,457.58","$17,760.54",17.8%,false,-,
Cyberdyne Systems,00615,2024-11-27,India,"111,569.46","₹87,774.04",27.6%,Y,N/A,
Pied Piper,00384,21/03/2024,LATAM,"$36,784.40","$31,148.34",N/A,N,Customer asked for 50 discount,
Dunder Mifflin,00794,22/10/2024,LATAM,"$8,891.41","$7,635.56",16.7%,false,,
Wayne Enterprises,00235,11.04.2024,EMEA,"€18,647.06","€15,381.64",45.1%,true,Fast shipping requested,
Acme Corp,00476,12-10-2024,India,"₹9,751.87","₹5,542.61",9.8%,false,N/A,
Initech LLC,00018,03-15-2024,North America,"$23,437.09","$19,823.12",42.2%,Yes,Standard order,
Pied Piper,00804,15/09/2024,LATAM,"$37,948.50","$31,726.38",10.7%,Yes,,
Stark Industries,00263,2024-12-14,USA,"$39,133.32","$35,743.70",19.7%,false,Standard order,
Initech LLC,00969,16-05-2024,India,"₹222,442.30","₹193,425.44",34.7%,Yes,Customer asked for 50 discount,
Massive Dynamic,00132,20/01/2024,LATAM,"$21,649.55","$16,424.96",9.2%,Y,Account upgrade pending,
Acme Corp,00071,03/12/2024,APAC,"Rs. 35,827.73","Rs. 22,789.65",40.6%,N,Quarterly renewal,
Dunder Mifflin,00715,24/12/2024,LATAM,"$22,095.94","$15,536.21",37.8%,Yes,-,
Hooli Inc,00341,05/27/2024,USA,"$33,758.88","$28,802.57",41.5%,false,VIP client priority support,
Dunder Mifflin,00644,04.06.2024,Europe,"€12,503.54","€10,037.75",18.3%,true,Fast shipping requested,
Umbrella Corp,00545,2024-03-15,USA,"$15,235.72","$11,115.78",44.3%,No,Customer asked for 50 discount,
Dunder Mifflin,00385,11/04/2024,North America,"$35,157.63","$27,647.93",46.9%,false,Standard order,
Massive Dynamic,00282,14/12/2024,India,"₹240,343.75","₹140,825.60",13.9%,Yes,VIP client priority support,
Globex Inc,00777,02-11-2024,India,"Rs. 177,124.85","Rs. 125,407.54",30.8%,false,VIP client priority support,
Globex Inc,00624,24/06/2024,LATAM,"$18,849.28","$14,544.75",20.2%,No,Quarterly renewal,
Wayne Enterprises,00794,21-Jun-2024,India,"₹5,047.93","₹2,841.10",11.3%,Y,Customer asked for 50 discount,
Soylent Corp,00229,2024-05-23,Europe,"€33,330.39","€25,369.33",26.6%,true,Account upgrade pending,
Massive Dynamic,00265,05/21/2024,North America,"$55,096.52","$45,053.79",43.8%,No,Fast shipping requested,
Massive Dynamic,00667,14/12/2024,EMEA,"€59,937.27","€40,381.19",48.7%,Yes,Standard order,
Acme Corp,00806,01/25/2024,USA,"$24,579.69","$19,864.68",51.9%,No,-,
Umbrella Corp,00237,22/07/2024,LATAM,"$21,675.53","$17,575.83",17.3%,N,VIP client priority support,
Cyberdyne Systems,00502,07/11/2024,India,"Rs. 64,367.20","Rs. 41,743.10",32.1%,N,,
Hooli Inc,00366,06-23-2024,North America,"$12,777.22","$8,680.78",34.3%,Yes,Quarterly renewal,
Acme Corp,00392,02/15/2024,North America,"($65,169.55)","$55,618.92",(10.2%),N,N/A,
Dunder Mifflin,00349,2024-09-19,North America,"$41,205.12","$32,161.65",36.4%,false,-,
Dunder Mifflin,00271,12/04/2024,North America,"($34,925.57)","$31,423.07",(36.2%),false,Account upgrade pending,
Umbrella Corp,00029,2024-09-25,EMEA,"€6,654.32","€4,436.56",13.8%,N,-,
Initech LLC,00032,05/06/2024,APAC,"₹9,501.20","₹7,631.32",51.8%,true,Standard order,
Acme Corp,00273,13/09/2024,LATAM,"$40,424.30","$31,527.97",23.0%,No,Quarterly renewal,
Wayne Enterprises,00256,17.07.2024,India,"Rs. 37,284.17","Rs. 29,507.25",14.5%,false,-,
Cyberdyne Systems,00450,17-11-2024,Europe,"£34,735.91","£28,351.21",N/A,N,,
Pied Piper,00463,03/21/2024,USA,"$57,207.32","$44,417.66",15.9%,false,Standard order,
Hooli Inc,00091,10-09-2024,USA,"$13,879.84","$9,623.73",15.6%,Y,Customer asked for 50 discount,
Wayne Enterprises,00237,04/19/24,USA,"$73,923.51","$64,375.38",26.5%,N,Standard order,
Massive Dynamic,00762,06/07/2024,Europe,"€33,938.06","€24,336.83",51.8%,N,Standard order,
Globex Inc,00406,14-04-2024,India,"₹194,550.87","₹127,584.20",48.2%,Yes,N/A,
Acme Corp,00472,10-12-2024,APAC,"₹106,322.03","₹76,214.58",38.5%,N,Fast shipping requested,
Pied Piper,00341,12-18-2024,USA,"$47,592.02","$27,677.78",50.8%,Yes,,
Globex Inc,00399,2024-11-18,APAC,"₹44,720.40","₹26,988.97",19.5%,N,Customer asked for 50 discount,
Acme Corp,00195,2024-10-17,APAC,"Rs. 7,990.90","Rs. 5,866.30",33.6%,Yes,N/A,
Stark Industries,00429,15/10/2024,LATAM,"$24,856.70","$19,063.05",43.8%,Yes,Standard order,
Acme Corp,00367,2024-10-17,APAC,"(₹78,118.18)","₹69,567.55",(13.4%),false,Customer asked for 50 discount,
Massive Dynamic,00686,08/18/2024,USA,"$7,075.16","$4,674.83",8.2%,No,Fast shipping requested,
Pied Piper,00492,06/05/2024,North America,"$52,217.63","$40,544.90",34.6%,N,Customer asked for 50 discount,
Wayne Enterprises,00633,2024-10-23,Europe,"€23,129.70","€13,831.42",34.7%,Yes,Quarterly renewal,
Initech LLC,00307,08/01/2024,North America,"$55,336.38","$34,680.00",7.1%,false,Quarterly renewal,
Dunder Mifflin,00665,05-22-2024,North America,"$57,550.74","$34,076.92",31.7%,Yes,Quarterly renewal,
Hooli Inc,00863,28/08/2024,EMEA,"€40,842.59","€35,943.99",41.8%,false,Standard order,
Globex Inc,00316,23.09.2024,India,"₹86,271.23","₹76,694.17",12.0%,true,,
Acme Corp,00557,18/10/2024,Europe,"€56,225.67","€46,558.78",6.5%,N,Quarterly renewal,
Hooli Inc,00472,22.04.2024,Europe,"€51,064.37","€42,780.83",6.2%,No,VIP client priority support,
Soylent Corp,00358,22/06/2024,LATAM,"$42,242.06","$33,238.21",39.1%,false,-,
Umbrella Corp,00014,14/11/2024,EMEA,"€6,881.06","€5,735.27",40.6%,Yes,Account upgrade pending,
Soylent Corp,00207,06.08.2024,EMEA,"(£9,875.98)","£6,431.69",(29.2%),Yes,-,
Hooli Inc,00572,12/05/2024,EMEA,"€4,816.54","€3,742.00",11.1%,false,Standard order,
Umbrella Corp,00402,07-03-2024,APAC,"Rs. 155,997.26","Rs. 103,832.25",36.5%,N,VIP client priority support,
Umbrella Corp,00842,08.05.2024,Europe,"£30,691.37","£27,639.29",17.1%,Yes,Account upgrade pending,
Hooli Inc,00474,13/02/2024,LATAM,"$21,025.25","$12,820.79",33.4%,Y,,
Initech LLC,00825,2024-02-23,APAC,"₹135,522.66","₹94,635.76",30.8%,N,Fast shipping requested,
Hooli Inc,00223,10/06/2024,Europe,"£11,415.94","£9,107.11",44.3%,No,N/A,
Hooli Inc,00578,27/03/2024,APAC,"₹172,949.63","₹133,287.09",35.3%,Yes,VIP client priority support,
Massive Dynamic,00934,11.03.2024,Europe,"£25,470.88","£19,455.54",19.9%,false,Customer asked for 50 discount,
Wayne Enterprises,00745,2024-10-15,EMEA,"€26,391.99","€15,761.18",30.8%,false,-,
Hooli Inc,00122,04.07.2024,Europe,"€40,713.89","€33,114.90",14.9%,Yes,Quarterly renewal,
Globex Inc,00403,2024-05-24,Europe,"(€43,620.28)","€26,158.33",(38.9%),N,,
Cyberdyne Systems,00096,08/26/24,North America,"$46,781.31","$33,594.87",23.1%,N,Standard order,
Massive Dynamic,00520,09.05.2024,Europe,"€2,368.33","€1,335.76",32.3%,Y,VIP client priority support,
Initech LLC,00758,09/02/2024,India,"Rs. 65,081.67","Rs. 50,981.42",37.2%,No,Customer asked for 50 discount,
Massive Dynamic,00064,2024-09-13,EMEA,"£37,392.95","£25,152.75",18.8%,false,Customer asked for 50 discount,
Initech LLC,00813,11/08/2024,India,"₹165,798.37","₹109,086.82",27.8%,Y,Customer asked for 50 discount,
Pied Piper,00145,05/01/2024,India,"₹227,982.21","₹187,724.63",13.2%,Yes,N/A,
Cyberdyne Systems,00828,02/03/2024,India,"₹210,215.48","₹174,168.08",36.1%,Yes,Quarterly renewal,
Massive Dynamic,00761,2024-05-24,Europe,"€7,716.43","€4,722.55",40.1%,No,Quarterly renewal,
Wayne Enterprises,00709,03-05-2024,USA,$988.54,$882.84,50.2%,Y,Fast shipping requested,
Globex Inc,00662,26.10.2024,EMEA,"€52,190.10","€33,635.33",36.7%,false,Quarterly renewal,
Globex Inc,00355,01/09/2024,USA,$995.91,$583.75,15.3%,Yes,Standard order,
Dunder Mifflin,00644,14-Oct-2024,APAC,"161,330.31","₹130,998.24",11.1%,false,VIP client priority support,
Umbrella Corp,00722,05/21/24,North America,"$47,944.66","$42,737.74",47.5%,true,Customer asked for 50 discount,
Cyberdyne Systems,00809,21/01/2024,APAC,"₹68,268.46","₹58,078.46",51.0%,N,VIP client priority support,
Acme Corp,00513,07/04/2024,APAC,"₹228,589.26","₹186,231.24",31.9%,N,Standard order,
Stark Industries,00162,01-13-2024,USA,"67,855.85","$51,748.02",28.1%,false,Fast shipping requested,
Globex Inc,00241,08-02-2024,APAC,"(86,692.73)","₹57,394.61",(35.4%),true,-,
Hooli Inc,00092,27/05/2024,Europe,"€62,894.84","€49,968.16",10.0%,N,Fast shipping requested,
Acme Corp,00458,03/19/2024,USA,"$36,743.52","$21,065.33",30.1%,N,Standard order,
Dunder Mifflin,00357,23.12.2024,APAC,"168,492.52","₹121,246.72",12.0%,Y,Standard order,
Initech LLC,00154,13/08/2024,LATAM,"$29,371.00","$16,301.72",47.5%,Y,N/A,
Massive Dynamic,00184,02/08/2024,Europe,"£4,289.54","£2,680.86",39.7%,Y,-,
Cyberdyne Systems,00339,19/01/2024,Europe,"€17,948.29","€14,902.35",12.8%,No,Standard order,
Cyberdyne Systems,00112,25/03/2024,Europe,"£11,825.95","£6,894.32",24.6%,N,VIP client priority support,
Soylent Corp,00156,09/21/2024,USA,"$45,829.30","$25,844.05",49.7%,true,Account upgrade pending,
Wayne Enterprises,00014,20-Apr-2024,India,"₹156,635.63","₹136,149.33",26.8%,Yes,Customer asked for 50 discount,
Dunder Mifflin,00208,17.11.2024,APAC,"₹231,054.89","₹131,699.03",16.8%,N,Standard order,
Umbrella Corp,00768,01/08/2024,APAC,"₹224,294.40","₹183,230.39",14.3%,true,Quarterly renewal,
Umbrella Corp,00343,2024-07-16,North America,"$28,227.38","$17,829.69",46.9%,No,N/A,
Cyberdyne Systems,00406,12.04.2024,EMEA,"€13,303.27","€7,942.96",11.4%,N,,
Cyberdyne Systems,00788,2024-03-20,EMEA,"£41,542.35","£32,247.89",45.2%,No,N/A,
Soylent Corp,00615,27/05/2024,LATAM,"$39,330.63","$25,043.42",15.5%,Yes,Standard order,
Wayne Enterprises,00055,09-01-2024,APAC,"₹122,420.99","₹103,478.36",16.3%,Y,,
Soylent Corp,00145,22-04-2024,EMEA,"£19,953.41","£16,166.70",6.1%,Yes,,
Cyberdyne Systems,00818,08/12/2024,Europe,"€25,140.18","€20,252.37",40.4%,No,-,
Massive Dynamic,00823,10/15/24,North America,"$38,653.76","$34,274.35",23.0%,Y,Account upgrade pending,
Hooli Inc,00189,09-15-2024,USA,"17,973.59","$10,640.66",32.3%,Yes,Quarterly renewal,
Hooli Inc,00371,26.05.2024,EMEA,"£31,707.50","£23,618.05",36.9%,true,N/A,
Massive Dynamic,00386,15/04/2024,Europe,"€18,886.55","€17,072.53",37.8%,Yes,-,
Acme Corp,00033,09.03.2024,EMEA,"€28,962.13","€22,837.60",46.0%,No,Account upgrade pending,
Wayne Enterprises,00602,10.11.2024,EMEA,"€29,878.86","€22,704.44",42.1%,true,Customer asked for 50 discount,
Dunder Mifflin,00161,2024-10-22,EMEA,"£46,325.43","£30,368.23",37.6%,Yes,VIP client priority support,
Soylent Corp,00129,23/10/2024,APAC,"55,263.06","₹44,853.69",12.0%,Yes,-,
Pied Piper,00134,25-Aug-2024,APAC,"₹43,233.05","₹39,296.92",35.4%,true,VIP client priority support,
Massive Dynamic,00756,23/12/2024,LATAM,"$2,283.60","$1,797.88",6.2%,Yes,N/A,
Hooli Inc,00104,11/04/2024,EMEA,"€50,827.16","€42,380.97",44.9%,Y,-,
Wayne Enterprises,00209,23/10/2024,LATAM,"$40,925.89","$27,681.15",45.1%,true,Standard order,
Pied Piper,00363,22.08.2024,EMEA,"€48,250.99","€33,957.87",39.2%,false,,
Cyberdyne Systems,00865,04-05-2024,India,"₹21,198.37","₹19,189.51",24.2%,N,VIP client priority support,
Globex Inc,00483,04-17-2024,USA,"$3,263.25","$2,792.40",31.3%,Y,Standard order,
Cyberdyne Systems,00278,2024-11-28,EMEA,"€27,231.76","€19,933.59",10.6%,Y,Account upgrade pending,
Massive Dynamic,00502,11/11/2024,India,"(₹96,434.54)","₹79,191.48",(32.3%),Yes,Account upgrade pending,
Stark Industries,00909,06-17-2024,USA,"($47,754.91)","$43,142.16",(35.0%),Y,-,
Soylent Corp,00794,03-10-2024,USA,"$62,028.97","$49,836.42",37.4%,No,Account upgrade pending,
Cyberdyne Systems,00023,06/22/2024,North America,"$7,771.10","$4,718.50",47.2%,No,-,
Initech LLC,00574,07/16/2024,USA,"$69,263.39","$50,383.70",43.4%,No,-,
Hooli Inc,00186,01/22/2024,USA,"51,634.73","$34,272.47",25.0%,Y,Fast shipping requested,
Dunder Mifflin,00803,26/01/2024,LATAM,"$29,860.60","$22,622.74",47.7%,true,Standard order,
Umbrella Corp,00811,04/03/2024,APAC,"27,240.93","₹23,508.07",21.3%,No,Quarterly renewal,
Globex Inc,00593,16/10/2024,APAC,"₹241,244.63","₹148,017.13",39.1%,No,N/A,
Hooli Inc,00724,18-08-2024,India,"₹245,418.78","₹173,489.97",40.8%,N,Fast shipping requested,
Globex Inc,00149,24/12/2024,LATAM,"$4,160.03","$3,006.87",26.5%,false,N/A,
Soylent Corp,00577,22/07/2024,LATAM,"$36,208.42","$31,815.57",5.6%,false,Fast shipping requested,
Wayne Enterprises,00458,03/07/2024,India,"₹186,650.88","₹164,289.77",14.4%,N,Fast shipping requested,
Soylent Corp,00868,28/05/2024,LATAM,"$34,155.48","$28,360.81",21.7%,N,N/A,
Globex Inc,00295,05/02/2024,North America,"$47,164.99","$28,289.80",8.2%,Yes,,
Massive Dynamic,00705,17/05/2024,EMEA,"€43,038.02","€31,950.61",18.8%,No,Customer asked for 50 discount,
Globex Inc,00361,13.01.2024,Europe,"(€55,466.25)","€39,588.80",(36.0%),true,VIP client priority support,
Stark Industries,00451,2024-08-22,North America,"$42,707.26","$31,240.57",27.1%,Yes,-,
Dunder Mifflin,00410,07.10.2024,EMEA,"(£20,967.28)","£11,750.37",(21.4%),false,Standard order,
Acme Corp,00359,16/07/2024,LATAM,"$3,011.99","$1,914.06",19.7%,false,Fast shipping requested,
Pied Piper,00127,18-01-2024,EMEA,"€56,146.28","€42,681.18",37.7%,true,,
Massive Dynamic,00409,02.12.2024,EMEA,"€32,388.19","€27,537.71",19.1%,Yes,N/A,
Acme Corp,00877,15.09.2024,Europe,"£64,755.55","£45,247.95",9.3%,Y,Account upgrade pending,
Pied Piper,00078,2024-06-28,India,"₹164,626.52","₹108,930.63",30.4%,N,Customer asked for 50 discount,
Massive Dynamic,00537,18/01/2024,LATAM,"$8,800.98","$6,378.26",43.7%,true,-,
Massive Dynamic,00883,26/10/2024,Europe,"£23,805.00","£14,394.05",19.1%,true,Fast shipping requested,
Acme Corp,00218,26-05-2024,Europe,"€39,159.85","€27,418.57",16.5%,N,N/A,
Globex Inc,00456,14/04/2024,LATAM,"$11,998.66","$9,973.75",13.3%,false,N/A,
Dunder Mifflin,00066,2024-05-15,Europe,"£58,557.25","£41,024.77",9.2%,false,VIP client priority support,
Soylent Corp,00124,16-Sep-2024,India,"₹233,231.13","₹150,007.03",10.7%,true,,
Initech LLC,00771,04-26-2024,North America,"$33,016.71","$21,265.84",22.6%,true,-,
Wayne Enterprises,00496,06-03-2024,USA,"$61,620.27","$34,371.63",44.5%,Y,Quarterly renewal,
Pied Piper,00575,22/11/2024,LATAM,"$30,993.55","$22,849.03",N/A,true,Customer asked for 50 discount,
Umbrella Corp,00968,2024-03-20,Europe,"€41,111.66","€35,989.27",6.6%,N,N/A,
Initech LLC,00432,2024-02-23,Europe,"£45,461.65","£33,520.86",43.2%,N,Standard order,
Dunder Mifflin,00666,11-18-2024,USA,"$15,085.64","$10,002.57",16.7%,false,VIP client priority support,
Massive Dynamic,00712,23/08/2024,LATAM,"$8,219.82","$6,226.98",18.2%,true,VIP client priority support,
Wayne Enterprises,00907,20/01/2024,LATAM,"$28,384.92","$24,620.96",14.3%,Yes,Standard order,
Wayne Enterprises,00642,21/03/2024,LATAM,"$25,742.31","$14,285.44",41.3%,false,N/A,
Umbrella Corp,00239,05-05-2024,USA,"9,851.93","$8,540.10",18.3%,N,VIP client priority support,
Wayne Enterprises,00821,04/05/2024,North America,"$27,785.87","$22,317.02",11.3%,false,,
Acme Corp,00227,12/07/2024,USA,"$7,236.43","$4,137.34",47.7%,false,Standard order,
Dunder Mifflin,00269,25.05.2024,India,"₹15,075.62","₹9,292.13",20.9%,Y,Account upgrade pending,
Initech LLC,00553,17/05/2024,LATAM,"$6,190.28","$5,293.23",40.1%,true,Customer asked for 50 discount,
Massive Dynamic,00859,2024-07-21,Europe,"€20,647.18","€18,953.89",45.1%,N,Standard order,
Soylent Corp,00162,20.03.2024,APAC,"₹119,447.55","₹70,823.90",25.8%,No,N/A,
Stark Industries,00514,17-02-2024,APAC,"₹49,260.47","₹30,160.67",46.9%,No,Standard order,
Globex Inc,00795,2024-04-18,India,"-(Rs. 170,842.59)","Rs. 150,055.50",(37.0%),N,Account upgrade pending,
Massive Dynamic,00961,01-02-2024,APAC,"₹116,243.60","₹105,017.32",50.6%,N,Account upgrade pending,
Initech LLC,00761,17/04/2024,Europe,"€48,398.24","€36,417.15",17.0%,N,Fast shipping requested,
Dunder Mifflin,00882,05/07/2024,North America,"$9,133.09","$6,681.88",19.6%,Yes,Account upgrade pending,
Acme Corp,00108,04.08.2024,Europe,"£31,073.29","£23,563.84",43.1%,N,,
Umbrella Corp,00051,11/04/2024,India,"₹233,013.57","₹173,616.81",27.0%,N,Customer asked for 50 discount,
Cyberdyne Systems,00140,04/22/2024,USA,"$41,369.48","$36,794.09",24.4%,false,Customer asked for 50 discount,
Hooli Inc,00270,01-02-2024,India,"₹48,990.29","₹30,247.44",46.2%,No,N/A,
Acme Corp,00470,21.06.2024,India,"₹245,635.62","₹158,667.72",5.8%,Y,VIP client priority support,
Acme Corp,00498,25/11/2024,LATAM,"$13,974.60","$11,663.15",37.5%,false,,
Pied Piper,00099,2024-02-17,North America,"($52,232.83)","$32,365.65",(11.8%),Yes,,
Acme Corp,00888,19.02.2024,Europe,"£1,613.73",£986.73,50.3%,N,Quarterly renewal,
Soylent Corp,00311,25.01.2024,India,"₹110,788.05","₹77,973.05",39.4%,Y,N/A,
Wayne Enterprises,00507,12-01-2024,India,"₹146,218.82","₹110,352.02",46.8%,No,Account upgrade pending,
Stark Industries,00724,13/03/2024,LATAM,"$15,801.21","$9,974.29",47.7%,No,N/A,
Cyberdyne Systems,00914,11.11.2024,EMEA,"€52,024.13","€44,869.59",40.2%,Yes,VIP client priority support,
Soylent Corp,00170,28/02/2024,India,"₹141,423.48","₹130,070.94",36.8%,No,Standard order,
Umbrella Corp,00355,16/10/2024,LATAM,"$22,143.26","$19,879.82",41.2%,No,Customer asked for 50 discount,
Cyberdyne Systems,00883,2024-08-16,USA,"$72,202.27","$59,901.37",33.7%,Y,-,
Dunder Mifflin,00529,18-Nov-2024,APAC,"₹43,472.97","₹28,608.93",39.4%,false,Account upgrade pending,
Hooli Inc,00848,2024-07-16,North America,$593.41,$509.67,13.0%,false,,
Hooli Inc,00654,2024-07-20,USA,"10,435.78","$7,395.47",49.7%,false,Account upgrade pending,
Dunder Mifflin,00463,12-13-2024,North America,"$30,183.65","$25,226.83",6.7%,Yes,Standard order,
Acme Corp,00740,07.11.2024,Europe,"£46,956.51","£31,276.19",47.3%,Yes,,
Stark Industries,00669,11/06/2024,North America,"$66,085.00","$38,407.54",38.8%,No,-,
Pied Piper,00228,22/09/2024,APAC,"Rs. 223,128.24","Rs. 167,295.99",19.3%,No,Fast shipping requested,
Initech LLC,00071,24/05/2024,Europe,"£49,225.08","£44,218.74",5.2%,Yes,-,
Massive Dynamic,00249,11/12/2024,EMEA,"€46,489.94","€34,508.40",32.4%,true,N/A,
Umbrella Corp,00160,07/26/2024,USA,"$35,771.36","$25,579.41",32.6%,N,Customer asked for 50 discount,
Massive Dynamic,00520,08-12-2024,USA,"$61,803.51","$37,292.74",11.1%,No,Fast shipping requested,
Initech LLC,00227,28/01/2024,LATAM,"$16,935.28","$14,956.18",24.2%,No,Customer asked for 50 discount,
Dunder Mifflin,00545,06-16-2024,North America,"$2,195.54","$1,323.61",49.0%,true,Quarterly renewal,
Cyberdyne Systems,00848,01/28/2024,USA,"31,376.38","$23,909.80",41.7%,false,VIP client priority support,
Cyberdyne Systems,00526,08-27-2024,USA,"$6,789.69","$5,303.87",47.3%,Y,N/A,
Initech LLC,00294,01-12-2024,USA,"$42,122.22","$25,096.38",34.1%,Y,-,
Soylent Corp,00778,13/02/2024,LATAM,"$1,344.32","$1,109.55",38.2%,N,Fast shipping requested,
Globex Inc,00631,2024-08-25,EMEA,"£1,707.46","£1,215.19",19.9%,Y,Fast shipping requested,
Globex Inc,00182,17.03.2024,EMEA,"€44,173.84","€25,258.52",38.5%,Y,Account upgrade pending,
Cyberdyne Systems,00432,21-07-2024,EMEA,"€38,174.68","€27,959.23",10.4%,N,-,
Wayne Enterprises,00077,13/07/2024,LATAM,"$1,328.72",$988.47,9.8%,false,VIP client priority support,
